Company/Brand,Founded,Headquarters,Industry,Industry Head,What it Does,Founder/s,Investor/s,Amount,Stage
Voiro,2014,Bangalore,Advertisement,Media,Voiro is the first all-in-one revenue management suite exclusively for ad-led digital publishers across media.,"Anand Gopal, Kavita Shenoy",1Crowd,"$1,800,000",Pre-series A
Wright Research,2019,Mumbai,Advisory firm,Consulting,Quantitative Investment Management and Research,Sonam Srivastava,"Ajat Hukkoo, Piyush Chaplot",,Pre-seed
Optimized Electrotech,2017,Ahmedabad,Aeorspace,Tech,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection","Anil Yekkala, Dharin Shah, Kuldeep Saxena, Purvi Shah, Sandeep Shah",GVFL,"$1,800,000",Pre-series A
DeHaat,2012,Patna,AgriTech,Tech,DeHaat connects farmers to suppliers and buyers on a single platform.,"Shashank Kumar, Manish Kumar","Prosus Ventures, RTP Global","$30,000,000",Series C
Samunnati,2014,Chennai,AgriTech,Tech,Samunnati is a specialized agriculture value chain enabler providing innovative and customized financial and non-financial solutions.,Anil Kumar,"U.S. International Development Finance Corp, responsAbility","$10,000,000",Debt
Ergos,2012,Bihar,AgriTech,Tech,Ergos is building an integrated supply chain platform that enables farmers to convert their grains to digital assets.,"Kishor Kumar Jha, Praveen Kumar","CDC Group, Aavishkaar Venture Capital","$3,000,000",Series A
CropIn,2010,Bangalore,AgriTech,Tech,CropIn is a leading AI and Data-led agri-tech organization that provides SaaS solutions to agribusinesses globally using deep learning.,Krishna Kumar,"Invested Development, Pratithi Investment Trust","$20,000,000",Series C
Agri10x,2018,Pune,AgriTech,Tech,Agri10x integrates the entire Agri value-chain through a digital cooperative platform by harnessing emerging technologies,"Abhijith Naraparaju, Pankajj P. Ghode, Sundeep Bose",Omnivore,,Seed
Origo,2010,Gurgaon,AgriTech,Tech,"Origo Commodities, a complete post-harvest management financial solution for agricultural commodities.","Sunoor Kaul, Mayank Dhanuka",YES Bank,"$10,000,000",Debt
Safex Chemicals,1991,New Delhi,AgriTech,Tech,Safex Chemicals India Ltd is a leading company having a strong foothold in the Indian agrochemicals industry.,"SK Jindal, SK Chaudhary",BanyanTree Finance Pvt. Ltd.,"$50,000,000",
ReshaMandi,2020,Bangalore,AgriTech,Tech,India's 1st award winning technology led digital ecosystem for Silk,Utkarsh Apoorva,"Omnivore, Strive Ventures","$1,700,000",Seed
EF Polymer,2018,Rajasthan,AgriTech,Tech,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,Narayan Lal Gurjar,MTG Ventures,"$200,000",
